epoch,train_loss,lq,lc,le,s_q,p_q,s_c,p_c,best_s_c,lr
1,3.469800,3.591977,3.347622,0.000000,0.342002,0.371864,0.570134,0.584133,0.570134,0.00100000
1,3.490167,3.617088,3.363246,0.000000,0.354888,0.378580,0.554331,0.576198,0.554331,0.00100000
1,3.490167,3.617088,3.363246,0.000000,0.354888,0.378580,0.554331,0.576198,0.554331,0.00100000
2,3.269635,3.278628,3.260641,0.000000,0.333412,0.345425,0.554331,0.577473,0.554331,0.00100000
1,3.482687,3.586329,3.379046,0.000000,0.351166,0.372533,0.554331,0.573509,0.554331,0.00100000
2,3.266610,3.272649,3.260571,0.000000,0.325560,0.346357,0.538309,0.541133,0.554331,0.00100000
1,3.758333,4.185023,3.331642,0.000000,0.445260,0.288880,0.050745,-0.001292,0.050745,0.00003000
1,3.464107,3.569278,3.358935,0.000000,0.342490,0.373915,0.589245,0.598032,0.589245,0.00100000
1,3.458606,3.566694,3.350518,0.000000,0.348971,0.377072,0.556018,0.561918,0.556018,0.00100000
1,3.455011,3.556266,3.353757,0.000000,0.355556,0.375318,0.592796,0.598357,0.592796,0.00100000
1,3.475956,3.579952,3.371960,0.000000,0.346075,0.371847,0.579324,0.584853,0.579324,0.00100000
1,3.476252,3.580426,3.372078,0.000000,0.346193,0.371964,0.575573,0.585317,0.575573,0.00100000
1,3.455846,3.560738,3.350954,0.000000,0.330372,0.360477,0.561109,0.578118,0.561109,0.00100000
1,3.481868,3.585344,3.378392,0.000000,0.353852,0.380145,0.559774,0.562547,0.559774,0.00100000
